城市,行政區,場站名稱,經度,緯度,OSM是否捷運站,OSM是否火車站,OSM是否公車站,OSM是否學校,OSM是否公園,OSM是否商圈,OSM是否醫院,場站,場站分類來源,場站分類狀態,分類版本
新北市,三峽區,龍埔三樹路98巷口,121.38393,24.93989,True,False,True,False,False,False,False,"捷運站,公車站",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,龍埔介壽路口,121.39008,24.93513,True,False,True,False,False,False,False,"捷運站,公車站",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,龍埔公園,121.3742,24.93841,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,龍埔國小,121.37676,24.94104,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,龍埔自行車道(民生街1巷),121.37824,24.93455,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,龍恩公園,121.37052,24.94135,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三芝區,三生步道,121.51005,25.26815,False,False,True,False,False,False,False,公車站,OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三芝區,三芝兒一公園,121.4994,25.25719,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三芝區,三芝兒三公園(三民街),121.50499,25.25874,False,False,True,True,True,True,False,"公車站,學校,公園,商圈",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三芝區,三芝區公所,121.50082,25.25788,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三芝區,三芝國中,121.50182,25.25898,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三芝區,櫻花水車公園,121.50125,25.25119,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三芝區,淺水灣,121.47131,25.25232,False,False,True,False,True,False,False,"公車站,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三芝區,馬偕醫學大學(圓環),121.49571,25.25438,False,False,True,True,False,False,False,"公車站,學校",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三芝區,馬偕醫學大學(第二教研大樓),121.49559,25.25303,False,False,True,True,False,False,False,"公車站,學校",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三信集英路口,121.48748,25.08563,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三光國小(金滿意),121.49687,25.05596,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三和國中(自強路三段110巷),121.48694,25.0748,True,False,True,True,True,False,True,"捷運站,公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三和慈愛街口,121.48417,25.07814,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三和路四段73號旁,121.48977,25.07513,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三和龍門路口,121.4949,25.0718,True,False,True,True,True,True,True,"捷運站,公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三張公園,121.49094,25.07051,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三張地下停車場,121.48981,25.07054,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三德公園,121.50076924045402,25.075005324200696,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三重五常公園,121.49615,25.08065,False,False,True,False,True,False,True,"公車站,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三重區停八停車場,121.47621,25.05365,False,False,False,True,True,False,False,"學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重商工,121.48071,25.06868,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重商工(後竹圍街),121.47976,25.07031,False,False,True,True,True,True,False,"公車站,學校,公園,商圈",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重商工地下停車場,121.48352,25.06966,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重國民運動中心,121.48849,25.05439,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重忠孝公園,121.47932,25.06325,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三重棒球場,121.4815,25.0613,False,False,True,False,True,False,False,"公車站,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重永豐公園,121.47816,25.07463,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三重派出所,121.5023,25.06395,True,False,True,True,True,True,True,"捷運站,公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重環河陸橋,121.49943,25.08149,False,False,True,False,True,False,True,"公車站,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重社會福利服務中心,121.49128,25.07781,False,False,True,False,True,False,False,"公車站,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重綜合體育館,121.49193,25.06145,True,False,True,False,True,False,True,"捷運站,公車站,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重行政中心,121.48823,25.06057,True,False,True,False,True,False,True,"捷運站,公車站,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,三重親水公園,121.49039,25.09114,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三重重陽公園,121.48367,25.05753,True,False,True,True,True,True,False,"捷運站,公車站,學校,公園,商圈",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,三重高中,121.49171,25.05478,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,中正北路193巷(愛買三重店),121.47599,25.07136,False,False,True,False,True,True,False,"公車站,公園,商圈",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,中正北路25巷(交響院社區),121.49185,25.06318,True,False,True,True,True,False,True,"捷運站,公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,中正北重陽路口,121.48736,25.06417,False,False,True,True,True,True,False,"公車站,學校,公園,商圈",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,中興北街175巷口,121.4696,25.05595,False,False,True,False,False,False,False,公車站,OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,中興北街42巷17弄,121.46892,25.05006,False,False,True,False,False,False,False,公車站,OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,中興橋(環河南路254巷口),121.49138,25.05052,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
